X,CH1,CH2,
Second,Volt,Volt,
-1.47940e-03,5.00e+00,2.40e-01,
-1.47840e-03,5.00e+00,2.40e-01,
-1.47740e-03,4.80e+00,1.36e+00,
-1.47640e-03,4.80e+00,2.40e-01,
-1.47540e-03,5.00e+00,3.20e-01,
-1.47440e-03,0.00e+00,2.40e-01,
-1.47340e-03,4.00e-01,5.12e+00,
-1.47240e-03,2.00e-01,4.96e+00,
-1.47140e-03,2.00e-01,4.96e+00,
-1.47040e-03,-2.00e-01,4.40e+00,
-1.46940e-03,5.00e+00,5.12e+00,
-1.46840e-03,5.00e+00,4.96e+00,
-1.46740e-03,4.80e+00,-1.60e-01,
-1.46640e-03,5.00e+00,2.40e-01,
-1.46540e-03,4.80e+00,1.60e-01,
-1.46440e-03,5.00e+00,2.40e-01,
-1.46340e-03,4.80e+00,2.40e-01,
-1.46240e-03,5.00e+00,2.40e-01,
-1.46140e-03,4.80e+00,2.40e-01,
-1.46040e-03,4.80e+00,2.40e-01,
-1.45940e-03,5.20e+00,5.52e+00,
-1.45840e-03,2.00e-01,4.96e+00,
-1.45740e-03,-2.00e-01,4.80e+00,
-1.45640e-03,0.00e+00,4.96e+00,
-1.45540e-03,4.00e-01,5.28e+00,
-1.45440e-03,2.00e-01,4.96e+00,
-1.45340e-03,5.20e+00,4.88e+00,
-1.45240e-03,5.20e+00,-3.20e-01,
-1.45140e-03,4.80e+00,2.40e-01,
-1.45040e-03,5.00e+00,2.40e-01,
-1.44940e-03,4.80e+00,1.60e-01,
-1.44840e-03,4.80e+00,2.40e-01,
-1.44740e-03,5.00e+00,2.40e-01,
-1.44640e-03,5.00e+00,2.40e-01,
-1.44540e-03,5.00e+00,5.20e+00,
-1.44440e-03,4.80e+00,4.96e+00,
-1.44340e-03,0.00e+00,4.96e+00,
-1.44240e-03,2.00e-01,4.88e+00,
-1.44140e-03,4.00e-01,5.20e+00,
-1.44040e-03,2.00e-01,4.96e+00,
-1.43940e-03,5.00e+00,4.96e+00,
-1.43840e-03,4.80e+00,4.96e+00,
-1.43740e-03,5.20e+00,1.60e-01,
-1.43640e-03,4.80e+00,2.40e-01,
-1.43540e-03,5.00e+00,2.40e-01,
-1.43440e-03,4.80e+00,8.00e-01,
-1.43340e-03,5.00e+00,2.40e-01,
-1.43240e-03,4.80e+00,2.40e-01,
-1.43140e-03,5.00e+00,5.12e+00,
-1.43040e-03,4.80e+00,5.04e+00,
-1.42940e-03,2.00e-01,4.96e+00,
-1.42840e-03,-2.00e-01,4.80e+00,
-1.42740e-03,4.00e-01,5.12e+00,
-1.42640e-03,2.00e-01,5.12e+00,
-1.42540e-03,5.20e+00,4.88e+00,
